莆田话,中文含义,分类
食盲未,吃饭了吗,greeting
好势,好了/可以了,greeting
暗安,晚安,greeting
日安,你好/日安,greeting
好唔好,好不好,greeting
多谢,谢谢,greeting
无客气,不客气,greeting
失礼,对不起/失礼了,greeting
几钱,多少钱,question
去住底,去哪里,question
做甚物,干什么,question
底时,什么时候,question
是毋是,是不是,question
有毋有,有没有,question
我,我,pronoun
汝,你,pronoun
伊,他/她,pronoun
阮,我们,pronoun
恁,你们,pronoun
亻因,他们,pronoun
食盲,吃饭,action
困盲,睡觉,action
行,走,action
走,跑,action
呾,说,action
睇,看,action
听,听,action
来,来,action
去,去,action
做,做,action
买,买,action
卖,卖,action
罩,爱/喜欢,emotion
我罩汝,我喜欢你,emotion
惊,害怕,emotion
气,生气,emotion
欢喜,开心,emotion
想,想念/想要,emotion
今旦,今天,time
逢早,明天,time
昨暝,昨天,time
现时,现在,time
早起,早上,time
日昼,中午,time
暗暝,晚上,time
糜,粥,food
饭,米饭,food
茶,茶,food
册,书,object
钱,钱,object
衫,衣服,object
厝,房子/家,object
路,路,object
是,是,affirm
毋是,不是,negate
有,有,affirm
无,没有,negate
会,会/可以,affirm
袂,不会/不可以,negate
